question_id,category,question,A,B,C,D,answer,explanation
Q001,Trúng thưởng,Bạn nhận được tin nhắn: 'Chúc mừng! Bạn trúng voucher 2 triệu đồng. Bấm link để nhận ngay.' Bạn nên làm gì?,Bấm link ngay để nhận quà,Nhập thông tin cá nhân để kiểm tra,"Không bấm link, kiểm tra nguồn chính thức",Chuyển tiếp cho nhiều bạn khác,C,Trúng thưởng bất ngờ kèm đường link là dấu hiệu thường gặp của lừa đảo.
Q002,OTP/Mật khẩu,Một người tự xưng là nhân viên ngân hàng yêu cầu bạn gửi mã OTP. Bạn nên làm gì?,Gửi ngay vì họ là nhân viên ngân hàng,Không cung cấp OTP và liên hệ kênh chính thức của ngân hàng,Đăng mã OTP lên nhóm để hỏi,Gửi một nửa mã OTP,B,"OTP là thông tin bảo mật, không nên cung cấp cho người khác."
Q003,Giả danh,Bạn bè nhắn đang gặp sự cố và yêu cầu chuyển tiền gấp. Cách xử lý phù hợp nhất?,Chuyển tiền ngay,Gọi điện hoặc xác minh bằng kênh khác trước khi chuyển tiền,Gửi số tài khoản của mình,Bỏ qua mọi tin nhắn của bạn bè,B,Tài khoản của người quen có thể bị chiếm quyền. Cần xác minh bằng kênh khác.
Q004,Khóa tài khoản,Tin nhắn nói tài khoản sẽ bị khóa trong 5 phút nếu không đăng nhập qua link. Bạn nên làm gì?,Đăng nhập ngay,Gửi mật khẩu cho người nhắn,Mở ứng dụng/trang chính thức để tự kiểm tra,Nhờ bạn đăng nhập hộ,C,Áp lực thời gian và yêu cầu đăng nhập qua link lạ là dấu hiệu nguy hiểm.
Q005,Việc làm/Đầu tư,"Một tin mời làm việc online, yêu cầu nạp 200 nghìn để nhận nhiệm vụ. Bạn nên làm gì?",Nạp thử số tiền nhỏ,Từ chối và kiểm tra nguồn tuyển dụng chính thức,Rủ bạn bè cùng nạp,Cung cấp tài khoản ngân hàng trước,B,Yêu cầu nộp tiền trước để nhận việc hoặc hoa hồng là dấu hiệu rủi ro cao.
Q006,Đường link,Bạn nhận link rút gọn từ người lạ với lời nhắn 'Xem ảnh của bạn ở đây'. Bạn nên làm gì?,Bấm ngay để xem,"Không bấm, hỏi lại nguồn gửi hoặc bỏ qua",Đăng nhập tài khoản để xem,Gửi link cho bạn khác thử trước,B,Link rút gọn có thể che giấu địa chỉ thật; không nên bấm khi chưa xác minh.
Q007,Thông tin cá nhân,Một trang lạ yêu cầu ảnh CCCD để nhận quà miễn phí. Bạn nên làm gì?,Gửi ảnh vì quà miễn phí,Không cung cấp và rời trang,Che một phần rồi gửi,Nhờ bạn gửi hộ,B,"Giấy tờ định danh là dữ liệu nhạy cảm, không nên cung cấp cho trang không rõ nguồn."
Q008,Giả danh,Một tài khoản có ảnh đại diện của cô giáo yêu cầu chuyển học phí vào tài khoản cá nhân. Bạn nên làm gì?,Chuyển ngay,Xác minh trực tiếp với cô hoặc nhà trường qua kênh quen thuộc,Hỏi người lạ trong nhóm,Đăng số tài khoản lên mạng,B,Ảnh đại diện và tên tài khoản có thể bị giả mạo; cần xác minh độc lập.
Q009,Trúng thưởng,Bạn được thông báo trúng điện thoại nhưng phải đóng phí vận chuyển trước. Bạn nên làm gì?,Đóng phí vì số tiền nhỏ,Không chuyển tiền và kiểm tra chương trình chính thức,Mượn tiền để đóng,Gửi mã OTP thay cho phí,B,Yêu cầu trả phí trước để nhận phần thưởng bất ngờ là dấu hiệu đáng ngờ.
Q010,OTP/Mật khẩu,"Tin nhắn ghi: 'Để bảo vệ tài khoản, hãy gửi mật khẩu cho quản trị viên'. Bạn nên làm gì?",Gửi mật khẩu,Không gửi; đổi mật khẩu qua trang chính thức nếu cần,Gửi mật khẩu cũ,Đăng mật khẩu vào nhóm,B,Dịch vụ hợp pháp không yêu cầu người dùng gửi mật khẩu qua tin nhắn.
