student_code,class_name,active
HS001,,1
HS002,,1
HS003,,1
HS004,,1
HS005,,1
HS006,,1
HS007,,1
HS008,,1
HS009,,1
HS010,,1
HS011,,1
HS012,,1
HS013,,1
HS014,,1
HS015,,1
HS016,,1
HS017,,1
HS018,,1
HS019,,1
HS020,,1
HS021,,1
HS022,,1
HS023,,1
HS024,,1
HS025,,1
HS026,,1
HS027,,1
HS028,,1
HS029,,1
HS030,,1
HS031,,1
HS032,,1
HS033,,1
HS034,,1
HS035,,1
HS036,,1
HS037,,1
HS038,,1
HS039,,1
HS040,,1
HS041,,1
HS042,,1
HS043,,1
HS044,,1
HS045,,1
HS046,,1
HS047,,1
HS048,,1
HS049,,1
HS050,,1
HS051,,1
HS052,,1
HS053,,1
HS054,,1
HS055,,1
HS056,,1
HS057,,1
HS058,,1
HS059,,1
HS060,,1
HS061,,1
HS062,,1
HS063,,1
HS064,,1
HS065,,1
HS066,,1
HS067,,1
HS068,,1
HS069,,1
HS070,,1
HS071,,1
HS072,,1
HS073,,1
HS074,,1
HS075,,1
HS076,,1
HS077,,1
HS078,,1
HS079,,1
HS080,,1
HS081,,1
HS082,,1
HS083,,1
HS084,,1
HS085,,1
HS086,,1
HS087,,1
HS088,,1
HS089,,1
HS090,,1
HS091,,1
HS092,,1
HS093,,1
HS094,,1
HS095,,1
HS096,,1
HS097,,1
HS098,,1
HS099,,1
HS100,,1
