student_code,group,active
TN_01,Thực nghiệm,1
TN_02,Thực nghiệm,1
TN_03,Thực nghiệm,1
TN_04,Thực nghiệm,1
TN_05,Thực nghiệm,1
TN_06,Thực nghiệm,1
TN_07,Thực nghiệm,1
TN_08,Thực nghiệm,1
TN_09,Thực nghiệm,1
TN_10,Thực nghiệm,1
TN_11,Thực nghiệm,1
TN_12,Thực nghiệm,1
TN_13,Thực nghiệm,1
TN_14,Thực nghiệm,1
TN_15,Thực nghiệm,1
TN_16,Thực nghiệm,1
TN_17,Thực nghiệm,1
TN_18,Thực nghiệm,1
TN_19,Thực nghiệm,1
TN_20,Thực nghiệm,1
TN_21,Thực nghiệm,1
TN_22,Thực nghiệm,1
TN_23,Thực nghiệm,1
TN_24,Thực nghiệm,1
TN_25,Thực nghiệm,1
TN_26,Thực nghiệm,1
TN_27,Thực nghiệm,1
TN_28,Thực nghiệm,1
TN_29,Thực nghiệm,1
TN_30,Thực nghiệm,1
DC_01,Đối chứng,1
DC_02,Đối chứng,1
DC_03,Đối chứng,1
DC_04,Đối chứng,1
DC_05,Đối chứng,1
DC_06,Đối chứng,1
DC_07,Đối chứng,1
DC_08,Đối chứng,1
DC_09,Đối chứng,1
DC_10,Đối chứng,1
DC_11,Đối chứng,1
DC_12,Đối chứng,1
DC_13,Đối chứng,1
DC_14,Đối chứng,1
DC_15,Đối chứng,1
DC_16,Đối chứng,1
DC_17,Đối chứng,1
DC_18,Đối chứng,1
DC_19,Đối chứng,1
DC_20,Đối chứng,1
DC_21,Đối chứng,1
DC_22,Đối chứng,1
DC_23,Đối chứng,1
DC_24,Đối chứng,1
DC_25,Đối chứng,1
DC_26,Đối chứng,1
DC_27,Đối chứng,1
DC_28,Đối chứng,1
DC_29,Đối chứng,1
DC_30,Đối chứng,1
