question_id,construct,question,A,B,C,D,answer
PRE01,Trúng thưởng/quà tặng,"Bạn nhận tin: “Chúc mừng bạn trúng tai nghe, bấm link và đóng 30.000đ phí nhận quà”. Bạn nên làm gì?",Bấm link vì phí nhỏ,Chuyển phí để giữ quà,"Không bấm link, kiểm tra chương trình trên kênh chính thức",Gửi cho bạn bè cùng nhận,C
PRE02,Trúng thưởng/quà tặng,Một tài khoản lạ nhắn bạn được nhận voucher 1 triệu nhưng phải nhập thông tin thẻ. Dấu hiệu đáng ngờ nhất là gì?,Voucher có giá trị lớn,Yêu cầu nhập thông tin thẻ để nhận quà bất ngờ,Tin nhắn gửi buổi tối,Có từ “voucher”,B
PRE03,OTP/mật khẩu,Người tự xưng nhân viên ngân hàng hỏi mã OTP để “hủy giao dịch lạ”. Bạn nên làm gì?,Gửi OTP vì để hủy giao dịch,Không cung cấp OTP; tự gọi số chính thức của ngân hàng,Gửi một nửa mã OTP,Đăng OTP lên nhóm hỏi,B
PRE04,OTP/mật khẩu,Tin nhắn nào sau đây an toàn hơn?,“Gửi mật khẩu để xác minh tài khoản”,“Nhập OTP vào link này ngay”,“Không chia sẻ OTP hoặc mật khẩu cho bất kỳ ai”,“Cho tôi mã xác thực để mở khóa”,C
PRE05,Đường link/phishing,Bạn nhận link rút gọn kèm lời nhắn “xem ảnh của bạn ở đây”. Cách xử lý phù hợp nhất?,Mở ngay vì tò mò,Không mở; hỏi người gửi qua kênh khác và kiểm tra nguồn,Đăng nhập bằng tài khoản phụ,Chuyển link cho bạn thử,B
PRE06,Đường link/phishing,Trang đăng nhập mở từ tin nhắn có địa chỉ gần giống trang thật nhưng sai một ký tự. Bạn nên hiểu thế nào?,Không sao vì giao diện giống,Có thể là trang giả mạo; không nhập thông tin,"Chỉ cần nhập tên, không nhập mật khẩu",Dùng nếu có biểu tượng khóa,B
PRE07,Giả danh người thân,"Tài khoản của anh/chị bạn nhắn “anh đang cần tiền gấp, chuyển ngay 2 triệu”. Cách xử lý tốt nhất?",Chuyển ngay vì người nhà,Gọi điện hoặc xác minh bằng kênh khác trước,Hỏi số tài khoản rồi chuyển,Nhắn mã OTP để xác minh,B
PRE08,Giả danh người thân,Một người dùng ảnh đại diện của bạn thân nhắn xin mã đăng nhập game. Bạn nên làm gì?,Gửi vì đúng ảnh đại diện,Không gửi; xác minh danh tính bằng cách khác,Chỉ gửi 3 số đầu,Cho mượn tài khoản tạm thời,B
PRE09,Giả danh tổ chức,Tin nhắn tự xưng “cơ quan chức năng” yêu cầu chuyển tiền vào “tài khoản an toàn” để kiểm tra. Bạn nên làm gì?,Làm theo để chứng minh vô tội,Không chuyển tiền; xác minh qua kênh chính thức và báo người lớn,Chuyển một phần trước,Gửi thông tin thẻ để họ kiểm tra,B
PRE10,Giả danh tổ chức,Một tài khoản giống tên trường yêu cầu đóng học phí vào tài khoản cá nhân trong 15 phút. Cách xử lý?,Chuyển ngay để khỏi trễ,Kiểm tra thông báo chính thức hoặc hỏi giáo viên/nhà trường,Chuyển một nửa,Đăng số tài khoản lên nhóm,B
PRE11,Việc làm/đầu tư,Tin tuyển cộng tác viên yêu cầu nạp 200.000đ trước rồi hứa hoàn 600.000đ sau nhiệm vụ. Dấu hiệu đáng ngờ?,Có công việc online,Yêu cầu nạp tiền trước để nhận hoa hồng cao,Tin nhắn ngắn,Có số tiền cụ thể,B
PRE12,Việc làm/đầu tư,"Một nhóm đầu tư cam kết “lợi nhuận 20% mỗi tuần, không có rủi ro”. Bạn nên làm gì?",Tham gia thử số tiền nhỏ,"Thận trọng, không chuyển tiền và hỏi người lớn/người có chuyên môn",Rủ thêm bạn để giảm rủi ro,Chỉ gửi CCCD trước,B
PRE13,Khẩn cấp/chuyển tiền,"Tin nhắn “Con em đang cấp cứu, chuyển tiền viện phí ngay vào tài khoản này”. Bạn nên làm gì trước tiên?",Chuyển tiền ngay,Xác minh với người thân/bệnh viện qua số chính thức,Gửi OTP để xác nhận,Chia sẻ công khai lên mạng,B
PRE14,Khẩn cấp/chuyển tiền,Từ nào trong tin nhắn thường được dùng để tạo áp lực khiến người nhận hành động vội?,Tham khảo,Khẩn cấp/ngay lập tức/chỉ còn 5 phút,Xin chào,Cảm ơn,B
PRE15,Thông tin cá nhân,"Một biểu mẫu lạ yêu cầu họ tên, CCCD, số thẻ và mật khẩu để “nhận hỗ trợ”. Bạn nên làm gì?",Điền vì có nhiều mục nên chắc là thật,Không điền; kiểm tra chương trình trên kênh chính thức,Điền trừ mật khẩu,Nhờ bạn điền hộ,B
PRE16,Thông tin cá nhân,Thông tin nào tuyệt đối không nên gửi qua tin nhắn cho người lạ?,Tên môn học yêu thích,Mã OTP/mật khẩu,Tên trường,Sở thích thể thao,B
PRE17,Mạng xã hội/game,"Bạn nhận tin “tài khoản game vi phạm, gửi mật khẩu để quản trị viên kiểm tra”. Bạn nên làm gì?",Gửi mật khẩu,Không gửi; kiểm tra trong ứng dụng/trang hỗ trợ chính thức,Đổi mật khẩu rồi gửi mật khẩu mới,Cho bạn đăng nhập hộ,B
PRE18,Mạng xã hội/game,Bạn được mời đăng nhập mạng xã hội qua link để bình chọn cho bạn bè. Cách an toàn hơn?,Đăng nhập ngay,Không dùng link lạ; tìm cuộc bình chọn từ kênh chính thức,Dùng cùng mật khẩu đang có,Đăng nhập bằng máy người khác,B
PRE19,Đánh giá thông điệp an toàn,Tin nhắn: “Nhà trường nhắc học sinh không bấm link lạ và không chia sẻ OTP”. Bạn nên đánh giá thế nào?,Nguy hiểm vì có từ OTP,Nội dung mang tính cảnh báo an toàn; vẫn nên kiểm tra nguồn gửi nếu cần,Chắc chắn là lừa đảo,Phải xóa ngay,B
PRE20,Đánh giá thông điệp an toàn,"Khi chưa chắc một tin nhắn có đáng tin hay không, nguyên tắc tốt nhất là gì?",Hành động nhanh để không lỡ cơ hội,"Dừng lại, kiểm tra nguồn, xác minh bằng kênh khác rồi mới hành động",Hỏi người gửi xem có thật không là đủ,Chỉ cần xem ảnh đại diện,B
