question_id,construct,question,A,B,C,D,answer
POST01,Trúng thưởng/quà tặng,"Bạn nhận tin “trúng vé xem phim miễn phí”, yêu cầu thanh toán phí kích hoạt qua link. Bạn nên làm gì?",Thanh toán vì phí nhỏ,Không bấm link; kiểm tra chương trình trên kênh chính thức,Chuyển cho bạn bè cùng thử,Nhập thông tin thẻ trước rồi quyết định,B
POST02,Trúng thưởng/quà tặng,Một trang lạ nói bạn nhận quà sinh nhật và yêu cầu số thẻ ngân hàng. Dấu hiệu đáng ngờ nhất?,Quà sinh nhật,Yêu cầu thông tin tài chính để nhận quà bất ngờ,Có hình ảnh đẹp,Tin nhắn gửi ban ngày,B
POST03,OTP/mật khẩu,Người tự xưng hỗ trợ ví điện tử yêu cầu đọc mã xác thực vừa gửi về máy. Bạn nên làm gì?,Đọc mã để được hỗ trợ,Không cung cấp; liên hệ hỗ trợ từ ứng dụng chính thức,Chỉ đọc 4 số đầu,Gửi ảnh màn hình mã,B
POST04,OTP/mật khẩu,Thông điệp nào sau đây chủ yếu là lời khuyên an toàn?,“Gửi OTP cho tôi để hoàn tiền”,“Không cung cấp mật khẩu hay mã xác thực cho người khác”,“Nhập mật khẩu tại link này”,“Cho tôi mã đăng nhập để kiểm tra”,B
POST05,Đường link/phishing,"Bạn nhận email có nút “Xem điểm thi”, địa chỉ trang mở ra sai chính tả tên miền trường. Bạn nên làm gì?",Đăng nhập vì nội dung liên quan trường,Đóng trang và truy cập cổng chính thức của trường,Thử mật khẩu cũ,Gửi link cho bạn kiểm tra,B
POST06,Đường link/phishing,Một đường link có giao diện giống ngân hàng nhưng tên miền rất lạ. Điều phù hợp nhất là?,Giao diện giống thì có thể dùng,Không nhập thông tin; tự mở app/website ngân hàng,Chỉ nhập số điện thoại,Dùng nếu trang tải nhanh,B
POST07,Giả danh người thân,Tài khoản của mẹ bạn nhắn mượn tiền nhưng cách nói khác thường. Bạn nên làm gì?,Chuyển vì đúng tài khoản,Gọi trực tiếp cho mẹ hoặc người thân khác để xác minh,Hỏi số tài khoản rồi chuyển,Gửi ảnh CCCD để xác nhận,B
POST08,Giả danh người thân,Bạn thân nhắn từ tài khoản mới xin mã đăng nhập mạng xã hội. Cách xử lý?,Gửi vì họ nói đúng tên bạn,Không gửi mã; liên hệ bạn qua kênh quen thuộc,Gửi sau 5 phút,Cho mượn mật khẩu thay vì mã,B
POST09,Giả danh tổ chức,Tin tự xưng “bưu điện” yêu cầu nhập thông tin thẻ để nhận bưu phẩm chưa rõ nguồn. Bạn nên làm gì?,Nhập để kiểm tra,"Tra cứu qua kênh bưu điện chính thức, không nhập thông tin trên link lạ",Thanh toán thử,Gửi mã OTP sau,B
POST10,Giả danh tổ chức,Một tài khoản dùng logo trường thông báo “đóng quỹ ngay vào tài khoản cá nhân”. Bạn nên làm gì?,Chuyển ngay,Xác minh với giáo viên/nhà trường bằng kênh chính thức,Chuyển ít trước,Hỏi chính tài khoản đó xem có thật không,B
