id,message,label,category,red_flags,source_type,difficulty,template_id,split
1,"Trong lúc kiểm tra thông báo, Chúc mừng bạn đã nhận quà tri ân khách hàng. Hãy đăng nhập qua đường dẫn để xác nhận phần thưởng https://phan-thuong.example/nhanqua.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T01,train
2,"Trong ứng dụng nhắn tin, Chúc mừng bạn đã nhận một điện thoại mới. Hãy nhấn vào liên kết để xác nhận phần thưởng https://xac-minh.example/kiemtra.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T01,train
3,"Qua hộp thư, Chúc mừng bạn đã nhận voucher mua sắm. Hãy bấm vào liên kết để xác nhận phần thưởng https://ho-tro.example/capnhat.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T01,train
4,"Khi đang dùng điện thoại, Chúc mừng bạn đã nhận 2 triệu đồng. Hãy đăng nhập qua đường dẫn để xác nhận phần thưởng https://phan-thuong.example/nhanqua.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T01,train
5,"Trong ứng dụng nhắn tin, Chúc mừng bạn đã nhận gói dữ liệu miễn phí. Hãy xác minh qua trang web để xác nhận phần thưởng https://phan-thuong.example/nhanqua.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T01,train
6,Bạn là khách hàng may mắn được tặng thẻ game trị giá cao; xin vui lòng xác minh qua trang web và hoàn tất thông tin nhận quà.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T02,train
7,"Sau giờ học, Bạn là khách hàng may mắn được tặng một điện thoại mới; xin vui lòng đăng nhập qua đường dẫn và hoàn tất thông tin nhận quà.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T02,train
8,Bạn là khách hàng may mắn được tặng một điện thoại mới; vui lòng điền biểu mẫu và hoàn tất thông tin nhận quà.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T02,train
9,"Sau giờ học, Bạn là khách hàng may mắn được tặng 5 triệu đồng; vui lòng bấm vào đường link và hoàn tất thông tin nhận quà.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T02,train
10,"Trong lúc kiểm tra thông báo, Bạn là khách hàng may mắn được tặng quà tri ân khách hàng; vui lòng bấm vào đường link và hoàn tất thông tin nhận quà.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T02,train
